crop,soil_type,ndvi,moisture,nitrogen_applied,phosphorus_applied,potassium_applied,area_ha,yield_tons_ha
Wheat,Clay Loam,0.82,15.1,154,48,64,18.7,8.43
Alfalfa,Sandy Loam,0.73,25.7,36,93,108,13.0,5.93
Alfalfa,Silt Loam,0.61,25.3,47,95,106,2.8,5.36
Maize,Clay Loam,0.39,23.4,136,58,79,13.5,6.75
Wheat,Sandy Loam,0.37,34.5,159,40,54,18.4,7.51
Maize,Clay Loam,0.45,20.2,187,74,69,17.5,7.25
Alfalfa,Silt Loam,0.48,38.8,44,95,103,2.4,5.66
Alfalfa,Clay Loam,0.58,29.6,48,69,110,10.1,5.13
Maize,Sandy Loam,0.45,34.8,137,65,60,20.2,7.16
Alfalfa,Clay Loam,0.65,51.7,32,60,105,3.2,6.3
Alfalfa,Clay Loam,0.71,47.4,45,71,90,21.8,6.5
Maize,Silt Loam,0.82,49.8,189,82,100,13.1,9.89
Maize,Sandy Loam,0.7,15.2,127,62,72,11.8,7.44
Maize,Clay Loam,0.48,23.4,196,72,84,15.8,7.28
Cotton,Sandy Loam,0.74,44.4,129,41,117,15.2,6.23
Cotton,Silt Loam,0.69,50.7,137,62,91,20.5,5.83
Maize,Sandy Loam,0.75,44.9,196,78,68,20.3,9.45
Wheat,Clay Loam,0.54,21.0,156,45,52,14.8,7.53
Maize,Clay Loam,0.35,21.7,175,72,76,2.7,7.06
Maize,Clay Loam,0.42,25.6,134,81,72,23.8,6.8
Wheat,Clay Loam,0.65,39.6,134,55,77,14.2,8.85
Cotton,Silt Loam,0.51,37.7,107,62,102,24.6,5.43
Alfalfa,Sandy Loam,0.59,42.1,32,73,106,22.1,5.57
Cotton,Sandy Loam,0.81,33.8,119,58,105,15.1,5.62
Cotton,Sandy Loam,0.43,29.0,112,44,98,19.1,5.07
Maize,Sandy Loam,0.62,34.7,185,54,109,15.0,8.99
Alfalfa,Sandy Loam,0.84,53.3,24,66,109,3.4,5.92
Maize,Silt Loam,0.66,20.0,158,77,98,15.3,8.06
Wheat,Silt Loam,0.65,23.8,146,53,88,13.0,7.65
Maize,Silt Loam,0.76,20.0,143,81,95,21.7,8.2
Maize,Clay Loam,0.81,45.0,192,66,78,23.5,9.79
Alfalfa,Sandy Loam,0.71,52.1,30,90,100,9.7,6.62
Cotton,Sandy Loam,0.63,32.2,99,47,118,24.2,5.3
Wheat,Clay Loam,0.8,41.2,156,68,76,17.5,9.1
Cotton,Sandy Loam,0.8,41.4,132,44,112,9.9,6.22
Maize,Clay Loam,0.85,15.5,191,57,94,8.9,8.87
Alfalfa,Silt Loam,0.84,47.4,24,96,109,12.6,6.19
Wheat,Sandy Loam,0.74,36.1,124,57,57,9.3,9.25
Alfalfa,Silt Loam,0.58,24.7,39,61,124,22.2,5.12
Maize,Sandy Loam,0.41,35.9,126,52,106,16.6,7.35
Wheat,Sandy Loam,0.64,37.3,114,53,63,17.1,8.19
Cotton,Silt Loam,0.4,41.0,121,51,88,9.2,4.83
Alfalfa,Sandy Loam,0.83,31.7,36,95,106,8.1,6.9
Cotton,Clay Loam,0.55,23.5,136,59,102,13.1,5.05
Wheat,Silt Loam,0.51,21.7,118,69,72,8.0,7.45
Maize,Silt Loam,0.68,44.9,140,77,86,23.1,8.73
Maize,Clay Loam,0.69,40.7,132,51,73,2.3,8.17
Cotton,Clay Loam,0.57,19.9,119,63,99,13.2,4.71
Maize,Silt Loam,0.63,16.3,174,54,103,12.8,7.79
Cotton,Sandy Loam,0.61,49.3,107,46,94,11.0,5.63
Wheat,Sandy Loam,0.6,34.6,115,67,65,14.4,7.71
Alfalfa,Clay Loam,0.66,34.0,46,74,90,11.0,5.57
Maize,Sandy Loam,0.58,15.8,196,55,89,7.2,7.55
Cotton,Sandy Loam,0.71,42.2,133,56,86,12.8,6.02
Maize,Silt Loam,0.6,49.0,132,67,80,22.1,8.33
Alfalfa,Clay Loam,0.84,41.7,37,94,129,7.6,6.67
Cotton,Silt Loam,0.51,21.4,100,55,118,6.7,4.83
Cotton,Silt Loam,0.78,42.2,119,52,102,22.6,6.41
Wheat,Sandy Loam,0.6,21.7,114,62,52,18.2,7.81
Cotton,Sandy Loam,0.67,33.9,139,52,80,17.5,5.15
Cotton,Clay Loam,0.52,49.4,95,52,98,12.9,5.24
Wheat,Silt Loam,0.53,25.9,142,43,68,13.6,7.31
Maize,Clay Loam,0.83,21.4,132,51,109,20.1,8.59
Cotton,Sandy Loam,0.81,41.7,119,61,90,7.4,5.86
Alfalfa,Silt Loam,0.49,27.2,32,60,100,13.8,4.19
Maize,Sandy Loam,0.76,39.5,177,54,100,19.9,9.09
Alfalfa,Sandy Loam,0.64,16.9,41,87,137,15.9,4.87
Wheat,Sandy Loam,0.76,19.4,104,45,72,4.5,7.72
Cotton,Sandy Loam,0.68,17.4,100,52,91,17.1,5.19
Alfalfa,Clay Loam,0.53,16.8,30,83,92,21.4,4.82
Maize,Sandy Loam,0.39,43.5,170,80,72,2.1,7.9
Alfalfa,Sandy Loam,0.63,18.2,32,73,103,20.2,5.07
Cotton,Clay Loam,0.74,54.0,90,64,94,3.4,5.69
Cotton,Sandy Loam,0.53,28.3,133,54,104,2.9,5.07
Maize,Sandy Loam,0.56,29.0,157,79,100,21.8,8.19
Cotton,Clay Loam,0.57,34.5,103,41,83,23.3,4.84
