temp_max,temp_min,humidity,wind_speed,precipitation,evapotranspiration_et0,soil_moisture_prev,soil_moisture_target
37.6,24.0,69.4,24.5,2.9,4.39,55.2,50.9
40.0,31.3,49.7,21.7,8.2,5.04,45.6,44.6
41.6,28.9,72.8,11.9,0.0,3.76,20.1,14.4
41.8,31.0,65.1,22.5,24.4,4.87,31.2,43.4
28.8,19.9,77.2,22.4,3.3,2.93,56.3,54.6
24.5,12.7,64.1,22.4,0.0,2.8,34.5,30.3
41.5,32.1,44.4,6.7,0.0,4.18,46.8,40.5
22.2,10.0,52.2,24.4,0.0,3.05,47.0,42.4
34.5,26.5,78.7,7.8,0.0,2.41,49.9,46.3
34.6,26.0,83.6,9.7,0.0,2.42,50.9,47.2
40.8,29.2,44.2,21.7,2.5,5.31,55.9,49.9
33.5,25.1,61.9,7.9,4.7,2.8,49.9,49.4
37.1,25.5,41.5,19.8,0.0,4.79,38.0,30.8
40.0,29.2,64.5,24.2,0.0,4.8,40.2,33.0
33.7,24.2,70.5,19.5,0.0,3.49,15.6,10.4
42.0,30.5,40.0,10.7,0.0,4.69,21.2,14.2
22.7,10.0,69.4,11.2,13.2,1.54,27.4,35.7
30.0,20.3,39.6,12.7,0.0,3.42,27.0,21.9
28.7,18.7,56.4,21.9,0.0,3.5,51.3,46.0
24.3,10.9,40.2,5.8,6.4,2.17,37.9,39.7
31.0,18.7,32.8,15.0,0.0,3.93,43.4,37.5
22.9,14.7,53.5,21.2,0.0,2.84,15.8,11.5
25.6,16.2,53.3,16.7,0.0,2.81,32.2,28.0
33.7,23.4,37.9,14.8,0.0,4.09,53.9,47.8
37.5,28.4,38.4,12.0,0.0,4.31,56.9,50.5
28.0,14.8,57.8,22.7,0.0,3.45,46.9,41.7
32.4,19.3,44.0,23.1,0.0,4.42,34.7,28.1
41.6,28.5,72.5,10.5,0.0,3.66,48.4,42.9
34.1,20.6,38.9,7.8,0.0,3.55,17.6,12.2
35.3,25.8,36.5,13.2,0.0,4.19,22.7,16.4
22.8,12.3,71.8,22.5,14.1,2.39,26.9,34.5
29.5,15.9,49.4,12.3,0.0,3.04,58.2,53.6
31.1,19.7,54.9,10.1,0.0,2.89,16.3,11.9
35.8,24.2,37.9,8.3,0.0,3.82,29.0,23.3
27.3,19.0,72.2,22.7,0.0,2.93,36.0,31.6
32.7,23.2,39.5,21.5,0.0,4.45,50.0,43.3
31.3,18.1,80.9,11.6,0.0,2.25,35.9,32.5
25.6,12.3,48.6,16.5,0.0,2.93,38.2,33.8
25.1,11.2,39.5,20.0,0.0,3.43,21.5,16.4
40.7,29.7,64.6,17.8,0.0,4.37,21.4,14.8
37.0,25.5,36.5,19.0,0.0,4.87,39.7,32.4
23.8,13.7,32.8,14.6,0.0,3.04,15.1,10.5
27.3,14.5,30.5,5.2,0.0,2.78,50.5,46.3
37.5,24.9,49.9,22.7,9.2,4.82,30.2,30.3
25.3,15.3,62.2,15.4,0.0,2.4,48.7,45.1
36.3,26.6,47.8,10.8,19.3,3.78,17.1,26.9
25.0,16.4,75.4,5.9,0.0,1.21,17.0,15.2
37.7,24.3,56.8,21.1,0.0,4.51,50.8,44.0
37.3,28.1,57.5,24.2,0.0,4.69,58.7,51.6
33.7,22.9,66.2,21.3,0.0,3.76,16.5,10.8
36.2,22.4,64.4,8.8,0.0,3.11,55.9,51.3
22.3,11.0,38.7,10.7,0.0,2.36,24.9,21.3
37.8,27.9,49.0,14.1,0.0,4.2,46.0,39.7
23.2,15.0,61.2,22.7,0.0,2.77,26.1,22.0
37.0,25.4,61.1,8.0,8.5,3.24,24.3,26.2
41.4,33.3,64.4,15.4,0.0,4.27,54.9,48.5
35.4,21.4,39.3,6.8,8.2,3.61,33.8,34.9
39.3,29.6,80.3,14.3,0.0,3.44,26.9,21.7
25.1,11.9,36.0,20.5,0.0,3.57,53.8,48.4
36.4,26.7,61.6,5.3,0.0,2.94,18.9,14.5
30.6,21.9,82.6,15.5,0.0,2.43,16.0,12.4
34.8,24.9,53.8,22.5,0.0,4.35,26.1,19.6
41.0,28.8,82.3,16.2,0.0,3.75,55.2,49.5
24.6,14.7,43.4,16.4,0.0,2.96,49.2,44.7
36.5,26.3,37.7,9.2,0.0,3.99,21.6,15.7
26.5,15.9,34.0,9.3,23.9,2.9,23.6,38.4
39.2,30.5,77.8,17.0,0.0,3.73,54.0,48.4
33.9,20.4,62.2,19.3,0.0,3.75,56.1,50.5
38.5,29.5,61.7,22.9,0.0,4.6,58.3,51.4
26.6,16.4,57.9,9.7,0.0,2.23,39.2,35.8
25.8,16.3,36.9,19.3,0.0,3.53,24.9,19.6
32.1,23.7,80.8,10.9,0.0,2.31,37.4,33.9
39.0,29.5,39.6,22.0,0.0,5.25,48.6,40.7
28.9,16.4,79.9,24.6,0.0,3.04,31.5,27.0
41.6,28.5,32.5,16.5,24.9,5.34,21.3,33.1
33.2,21.2,81.5,21.9,0.0,3.29,40.8,35.8
41.1,28.7,67.9,20.1,0.0,4.5,47.8,41.1
26.7,16.1,78.9,5.4,0.0,1.26,27.0,25.1
26.0,12.9,68.3,7.3,0.0,1.65,36.0,33.5
24.9,12.1,50.2,20.2,9.2,3.1,19.3,22.0
24.9,11.6,36.0,6.9,0.0,2.46,44.1,40.4
24.0,10.2,38.1,20.3,16.4,3.37,39.6,47.6
26.2,14.3,63.9,21.0,0.0,2.9,38.0,33.6
31.8,20.1,70.1,12.1,0.0,2.68,41.3,37.3
41.8,30.2,42.3,16.8,0.0,5.08,53.6,46.0
38.0,24.7,48.4,15.2,0.0,4.32,26.9,20.4
29.4,16.4,72.4,24.4,0.0,3.32,25.8,20.9
40.0,31.4,69.0,9.4,0.0,3.48,57.6,52.4
27.3,15.2,39.8,6.9,0.0,2.63,43.1,39.1
27.0,17.2,69.0,7.1,0.0,1.73,57.4,54.8
29.9,19.3,70.6,20.6,0.0,3.12,59.9,55.2
23.4,9.5,82.3,22.0,0.0,2.11,54.2,51.0
26.4,13.7,40.2,21.3,0.0,3.67,19.4,13.9
39.9,28.4,66.1,10.7,0.0,3.66,39.5,34.0
30.4,19.2,68.7,18.9,0.0,3.1,32.3,27.7
33.2,19.7,71.0,12.8,0.0,2.88,38.6,34.2
39.4,31.3,69.1,10.9,0.0,3.53,15.5,10.3
39.9,26.5,33.4,15.4,19.4,5.03,44.9,53.0
27.9,19.2,75.7,18.5,16.4,2.56,51.5,60.8
33.8,23.3,62.1,17.4,0.0,3.59,58.5,53.1
25.6,13.8,40.3,9.2,0.0,2.59,56.2,52.3
25.2,11.4,47.6,12.8,16.2,2.62,41.8,50.8
30.8,20.0,64.3,16.7,0.0,3.11,54.8,50.1
35.4,26.1,47.6,20.8,19.3,4.48,31.1,39.8
33.0,23.4,84.3,23.1,0.0,3.29,23.3,18.4
38.8,27.6,68.9,9.4,0.0,3.34,56.1,51.1
