N,P,K,temperature,humidity,ph,rainfall,crop
34,88,114,25.3,55.0,6.7,60.9,Alfalfa
25,83,135,19.4,56.3,6.6,100.5,Alfalfa
117,41,25,23.0,70.5,6.1,109.1,Maize
24,87,115,20.3,42.3,7.3,76.8,Alfalfa
126,37,116,31.1,54.3,5.9,145.4,Cotton
83,52,88,25.2,55.8,6.2,121.5,Cotton
77,49,114,34.1,56.5,6.9,88.1,Cotton
133,49,28,21.8,79.4,6.5,173.9,Maize
115,53,40,23.3,71.4,6.2,176.1,Maize
75,42,47,20.4,61.7,7.2,191.1,Wheat
100,58,44,16.7,50.3,6.5,159.2,Wheat
93,45,96,32.1,69.8,6.8,143.4,Cotton
120,67,31,28.5,69.0,5.6,117.1,Maize
103,44,27,25.9,65.5,6.2,118.3,Maize
28,62,100,25.2,45.9,6.8,52.8,Alfalfa
29,85,112,20.0,62.4,7.1,89.4,Alfalfa
99,39,102,31.0,63.5,6.1,144.9,Cotton
33,81,127,27.3,60.2,7.3,111.0,Alfalfa
113,46,99,33.9,63.5,7.2,140.6,Cotton
15,60,126,22.3,60.5,7.6,50.5,Alfalfa
96,43,116,31.9,56.7,6.2,75.1,Cotton
101,58,91,27.5,62.4,6.3,85.6,Cotton
108,31,31,19.1,50.7,6.4,195.2,Wheat
81,60,36,24.5,71.1,6.3,88.1,Maize
128,51,117,28.7,65.8,6.9,108.2,Cotton
85,35,88,28.2,54.7,5.9,113.2,Cotton
18,78,125,23.1,45.7,7.3,62.2,Alfalfa
99,36,47,23.4,63.5,6.9,131.4,Wheat
24,94,106,24.6,60.4,7.2,87.1,Alfalfa
80,55,36,25.6,77.7,5.7,107.9,Maize
30,75,102,26.6,50.1,7.7,109.6,Alfalfa
67,33,35,21.7,61.6,6.4,241.0,Wheat
88,47,43,20.5,63.8,6.8,133.6,Wheat
63,30,43,18.3,64.9,6.8,227.4,Wheat
92,45,41,20.1,62.7,6.3,188.5,Wheat
124,58,32,26.3,75.9,6.2,137.7,Maize
102,39,98,30.7,69.2,5.9,149.5,Cotton
108,53,30,23.7,60.3,6.7,122.8,Maize
90,32,30,15.8,56.1,6.2,140.3,Wheat
32,84,130,26.4,63.3,6.6,64.6,Alfalfa
36,82,101,20.5,47.4,6.9,109.4,Alfalfa
102,51,45,20.5,55.9,6.5,138.4,Wheat
82,62,86,30.0,70.0,6.9,123.2,Cotton
83,46,102,25.3,64.5,6.5,120.5,Cotton
39,81,121,20.5,41.0,6.9,87.6,Alfalfa
92,37,41,24.7,59.1,7.0,129.2,Wheat
126,42,32,27.3,79.5,6.2,112.3,Maize
78,57,34,16.8,51.6,6.5,203.3,Wheat
60,44,31,17.4,51.9,6.2,240.2,Wheat
75,58,36,21.6,58.7,6.9,107.2,Wheat
95,58,29,21.2,66.8,5.6,89.4,Maize
125,69,44,21.8,60.3,6.5,160.7,Maize
102,64,109,31.5,51.2,7.4,139.8,Cotton
100,44,98,30.0,71.4,6.9,74.7,Cotton
85,57,81,25.3,64.6,7.4,111.8,Cotton
114,67,25,24.6,70.9,6.7,118.6,Maize
99,39,40,17.0,51.4,6.1,102.7,Wheat
32,94,122,18.7,48.0,7.6,51.6,Alfalfa
130,48,31,21.2,73.9,6.3,167.7,Maize
94,55,115,26.8,68.8,7.2,149.1,Cotton
105,52,118,30.8,71.7,6.8,81.5,Cotton
27,82,124,20.4,49.4,7.2,84.8,Alfalfa
81,42,48,18.9,50.2,7.1,113.7,Wheat
28,90,118,22.9,42.1,6.6,92.2,Alfalfa
128,55,115,34.5,69.5,6.0,143.8,Cotton
118,53,29,27.4,70.9,6.4,176.9,Maize
69,55,41,23.7,66.8,6.5,133.4,Wheat
109,56,31,15.8,51.7,7.2,156.1,Wheat
81,49,46,24.5,69.7,6.9,156.4,Wheat
33,86,109,27.1,42.8,7.1,50.8,Alfalfa
127,54,107,32.7,70.6,7.1,121.3,Cotton
126,62,104,33.7,55.6,7.4,61.1,Cotton
114,63,100,25.4,73.1,7.4,82.8,Cotton
34,77,113,20.9,64.9,7.4,76.9,Alfalfa
39,70,111,27.6,41.4,7.0,57.5,Alfalfa
67,55,33,19.6,57.1,6.7,111.7,Wheat
95,56,46,17.8,58.2,6.7,140.6,Wheat
105,32,35,24.5,64.5,6.7,162.7,Wheat
99,52,84,25.3,59.4,7.2,148.9,Cotton
70,50,46,23.4,59.4,6.5,141.0,Wheat
124,40,107,33.1,75.0,7.5,110.0,Cotton
96,39,39,18.8,54.8,6.2,137.7,Wheat
72,33,30,21.7,62.4,6.4,117.0,Wheat
137,41,27,25.2,77.0,6.2,136.1,Maize
138,64,41,21.3,60.6,6.5,142.0,Maize
90,58,31,21.4,60.3,6.0,139.0,Maize
94,66,43,29.0,67.0,6.2,158.4,Maize
99,57,96,34.5,53.7,7.4,104.3,Cotton
89,58,84,34.8,62.3,6.4,117.0,Cotton
80,53,102,26.3,53.8,6.0,117.7,Cotton
73,58,104,34.0,61.8,6.9,75.5,Cotton
130,58,29,23.5,67.0,5.5,134.9,Maize
100,41,43,18.6,60.1,6.8,105.9,Wheat
106,54,44,20.1,53.1,6.5,100.4,Wheat
70,42,114,26.8,55.2,6.4,103.6,Cotton
107,62,38,24.6,74.9,5.5,105.2,Maize
17,82,117,22.5,53.3,6.8,68.8,Alfalfa
87,39,36,18.2,54.2,6.4,118.0,Wheat
72,49,33,18.6,63.0,6.6,187.6,Wheat
113,54,32,25.9,71.3,6.0,113.7,Maize
95,36,85,31.1,55.9,6.0,73.8,Cotton
30,63,129,19.9,47.1,6.7,112.8,Alfalfa
17,90,139,25.0,64.9,7.7,90.3,Alfalfa
18,74,105,27.8,52.3,7.4,107.5,Alfalfa
94,50,32,24.8,76.8,5.8,176.8,Maize
88,54,112,32.4,63.2,7.0,129.1,Cotton
116,69,35,29.3,66.4,6.3,116.9,Maize
79,39,102,30.5,55.0,7.0,67.9,Cotton
19,68,116,19.2,51.8,7.3,105.6,Alfalfa
31,64,113,27.3,64.8,6.8,76.5,Alfalfa
99,51,37,23.3,65.0,7.0,223.8,Wheat
64,48,43,20.2,57.2,7.1,158.9,Wheat
77,41,119,28.8,61.6,6.3,127.3,Cotton
15,84,116,27.0,49.6,7.2,113.5,Alfalfa
21,65,105,21.3,58.3,7.4,61.7,Alfalfa
15,89,138,23.7,64.9,7.5,99.5,Alfalfa
37,92,103,23.7,59.1,7.6,73.9,Alfalfa
92,54,28,24.6,72.1,6.2,134.0,Maize
106,33,41,22.7,50.2,6.7,184.8,Wheat
122,66,29,28.3,79.2,5.9,102.7,Maize
29,85,111,27.1,43.5,6.6,67.9,Alfalfa
129,45,91,26.0,73.0,7.1,62.1,Cotton
24,87,130,24.1,50.6,7.5,115.4,Alfalfa
90,62,25,21.1,79.7,6.6,92.5,Maize
60,51,48,20.9,58.0,6.1,150.3,Wheat
126,55,105,28.3,60.0,6.7,142.8,Cotton
