POINT_ID,Latitude,Longitude,Survey_Date,pH_H2O,pH_CaCl2,EC,OC,CaCO3,P,N,K
47862690,47.15023795,16.13421178,06-07-18,4.81,4.1,8.73,12.4,3,< LOD,1.1,101.9
47882704,47.27427248,16.17535859,06-07-18,4.93,4.1,5.06,16.7,1,< LOD,1.3,51.2
47982688,47.1232602,16.28969291,02-06-18,4.85,4.1,12.53,47.5,1,12.3,3.1,114.8
48022702,47.24569335,16.35750603,06-07-18,5.8,5.5,21.1,28.1,3,< LOD,2,165.8
48062708,47.29637182,16.41678159,05-07-18,6.48,6.1,10.89,19.4,2,< LOD,2.2,42.1
48122730,47.48881664,16.52059488,18-06-18,6.81,6.3,14.46,18,,68,2,277.2
48202738,47.5541021,16.63555874,18-06-18,6.37,5.8,17.08,12.5,,58.1,1.4,315.5
48222780,47.92869563,16.71115772,21-05-18,7.98,7.1,23.55,22.9,96,17.5,2.1,329.1
48342774,47.86505893,16.8638522,26-06-18,8.09,7.4,22.61,29.1,86,62.2,2.9,367.8
48442784,47.94615773,17.00926007,11-06-18,7.84,7.2,14.94,14.4,3,< LOD,1.6,146.2
