,count,mean,std,min,25%,50%,75%,max,median,missing_count
pH_H2O,10.0,6.396000000000001,1.293266321287993,4.81,5.1475,6.425000000000001,7.5825,8.09,6.425000000000001,0
pH_CaCl2,10.0,5.77,1.3038830895103717,4.1,4.449999999999999,5.949999999999999,6.8999999999999995,7.4,5.949999999999999,0
EC,10.0,15.094999999999999,6.090661795824089,5.06,11.3,14.7,20.095,23.55,14.7,0
OC,10.0,22.1,10.695793565696752,12.4,14.975,18.7,26.8,47.5,18.7,0
CaCO3,8.0,24.375,41.21697812448513,1.0,1.75,3.0,23.75,96.0,3.0,2
N,10.0,1.97,0.6566751268490548,1.1,1.45,2.0,2.1750000000000003,3.1,2.0,0
K,10.0,191.16000000000003,120.81338410034618,42.1,105.125,156.0,305.925,367.8,156.0,0
sentinel_ok,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
NDVI,10.0,0.6059870570898056,0.15598728752186775,0.3717864155769348,0.49472476541996,0.6026224195957184,0.7098899483680725,0.8166903853416443,0.6026224195957184,0
EVI,10.0,0.4018746569752693,0.11003368223365476,0.1972133070230484,0.3340051770210266,0.44967818260192866,0.4898640513420105,0.5052198171615601,0.44967818260192866,0
SAVI,10.0,0.3642632573843002,0.08631378182108033,0.2027215957641601,0.3221436813473701,0.3863060772418976,0.4321417137980461,0.4546808898448944,0.3863060772418976,0
MSAVI,10.0,0.34765940010547636,0.09122096913753962,0.1724547296762466,0.30437450855970377,0.3681436628103256,0.4203471466898918,0.4443036913871765,0.3681436628103256,0
GNDVI,10.0,0.5898488730192184,0.0981935884715532,0.462159126996994,0.5105342864990234,0.5948669910430908,0.6471517831087112,0.7344585657119751,0.5948669910430908,0
NDMI,10.0,0.17978244274854657,0.15001896813645071,-0.1177128851413726,0.0864311615005135,0.2117376253008842,0.2845617122948169,0.3609371185302734,0.2117376253008842,0
NDWI,10.0,-0.5898488730192184,0.0981935884715532,-0.7344585657119751,-0.6471517831087112,-0.5948669910430908,-0.5105342864990234,-0.462159126996994,-0.5948669910430908,0
BSI,10.0,-0.12670840583741663,0.15312433104316436,-0.3241985440254211,-0.22860227152705187,-0.15545807033777237,-0.019013316370546877,0.1462989598512649,-0.15545807033777237,0
NDRE,10.0,0.4332918867468834,0.13380421017345226,0.2364742010831833,0.3355724364519119,0.43439351022243494,0.5207714885473251,0.6233054399490356,0.43439351022243494,0
CIre,10.0,1.910269594192505,0.9873284696667631,0.6970095634460449,1.0736075341701508,1.9384126663208008,2.4370484948158264,3.566861391067505,1.9384126663208008,0
Brightness,10.0,0.20360703319311138,0.029200357798620152,0.1319264471530914,0.1950746811926365,0.20801218599081034,0.22199697420001027,0.2375558316707611,0.20801218599081034,0
ClayIndex,10.0,1.7083012580871582,0.2828546170148416,1.3207186460494995,1.515843242406845,1.6913232207298279,1.8508706390857699,2.1349775791168213,1.6913232207298279,0
sentinel1_ok,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
VV_mean,10.0,23.060561180114746,0.8771614047930972,21.975128173828125,22.263234615325935,23.16317081451416,23.62339162826538,24.580955505371094,23.16317081451416,0
VH_mean,10.0,20.19768714904785,0.9155680785900996,19.098350524902344,19.517727851867676,19.988922119140625,20.737563610076904,21.72512435913086,19.988922119140625,0
VV_VH_ratio,10.0,1.142245614528656,0.022602399323910977,1.0965040922164917,1.1351227462291718,1.1438961029052734,1.1501296758651733,1.1863183975219729,1.1438961029052734,0
RVI_mean,10.0,1.379580593109131,0.09403067635245448,1.184598445892334,1.345576345920563,1.3748963475227356,1.410241723060608,1.5544312000274658,1.3748963475227356,0
